Category: All categories

Month,Python analytics: (Worldwide),R analytics: (Worldwide),Java analytics: (Worldwide)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,0,14
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,12,0
2005-11,12,0,12
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,11
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,8
2006-10,0,0,0
2006-11,7,0,0
2006-12,0,0,15
2007-01,0,0,13
2007-02,0,14,0
2007-03,6,6,0
2007-04,6,6,13
2007-05,0,11,5
2007-06,11,0,17
2007-07,0,0,11
2007-08,5,16,0
2007-09,5,0,10
2007-10,0,0,14
2007-11,0,4,4
2007-12,0,5,0
2008-01,0,13,0
2008-02,0,0,9
2008-03,0,0,8
2008-04,12,0,16
2008-05,0,0,16
2008-06,0,4,4
2008-07,0,12,12
2008-08,0,0,12
2008-09,7,11,0
2008-10,3,7,13
2008-11,0,3,17
2008-12,0,3,7
2009-01,3,9,16
2009-02,0,7,13
2009-03,6,9,15
2009-04,0,9,12
2009-05,3,6,17
2009-06,0,3,12
2009-07,3,0,14
2009-08,6,0,9
2009-09,0,0,8
2009-10,8,5,15
2009-11,5,3,13
2009-12,5,5,3
2010-01,2,7,12
2010-02,5,10,15
2010-03,0,9,4
2010-04,0,2,26
2010-05,5,9,7
2010-06,7,7,12
2010-07,2,9,18
2010-08,0,13,11
2010-09,2,12,12
2010-10,6,14,14
2010-11,4,13,25
2010-12,2,15,25
2011-01,7,18,12
2011-02,6,15,22
2011-03,3,20,21
2011-04,2,9,32
2011-05,5,13,13
2011-06,8,20,10
2011-07,5,14,20
2011-08,3,5,14
2011-09,12,11,23
2011-10,0,15,12
2011-11,7,12,10
2011-12,4,10,23
2012-01,4,13,20
2012-02,7,13,22
2012-03,9,17,16
2012-04,12,8,14
2012-05,10,18,12
2012-06,3,27,16
2012-07,4,18,14
2012-08,5,18,22
2012-09,10,21,23
2012-10,8,18,12
2012-11,5,20,12
2012-12,15,9,17
2013-01,3,22,21
2013-02,4,16,19
2013-03,6,28,17
2013-04,10,22,20
2013-05,9,20,16
2013-06,5,17,28
2013-07,14,15,22
2013-08,14,38,31
2013-09,8,21,13
2013-10,10,29,27
2013-11,17,30,14
2013-12,6,26,18
2014-01,10,30,18
2014-02,15,21,11
2014-03,11,38,14
2014-04,12,40,20
2014-05,23,37,27
2014-06,12,43,19
2014-07,17,32,20
2014-08,8,40,22
2014-09,16,44,17
2014-10,16,38,24
2014-11,11,50,22
2014-12,13,24,14
2015-01,10,53,25
2015-02,22,45,19
2015-03,17,37,22
2015-04,21,53,19
2015-05,26,45,18
2015-06,17,41,22
2015-07,19,61,24
2015-08,19,35,24
2015-09,28,51,14
2015-10,28,43,21
2015-11,20,41,13
2015-12,23,44,12
2016-01,27,47,17
2016-02,20,45,18
2016-03,28,50,16
2016-04,28,58,16
2016-05,20,51,14
2016-06,27,65,23
2016-07,21,58,23
2016-08,34,45,15
2016-09,24,62,21
2016-10,20,45,12
2016-11,27,66,22
2016-12,29,62,18
2017-01,27,62,17
2017-02,48,70,19
2017-03,45,70,17
2017-04,50,69,13
2017-05,39,54,19
2017-06,40,69,15
2017-07,42,69,19
2017-08,39,65,18
2017-09,56,63,23
2017-10,49,52,15
2017-11,47,67,15
2017-12,48,40,14
2018-01,45,55,18
2018-02,43,51,19
2018-03,53,68,18
2018-04,38,66,11
2018-05,49,53,12
2018-06,73,50,14
2018-07,67,48,14
2018-08,52,47,11
2018-09,56,50,16
2018-10,45,57,18
2018-11,47,47,12
2018-12,51,39,10
2019-01,61,40,15
2019-02,78,42,8
2019-03,45,46,9
2019-04,73,45,9
2019-05,51,47,12
2019-06,65,33,11
2019-07,75,37,17
2019-08,61,49,14
2019-09,64,43,10
2019-10,63,42,14
2019-11,64,43,9
2019-12,52,32,9
2020-01,65,55,11
2020-02,100,48,6
2020-03,49,31,11
2020-04,54,40,5
2020-05,67,29,9
2020-06,58,31,7
2020-07,53,22,11
2020-08,50,33,10
2020-09,52,28,11
2020-10,41,17,7
2020-11,40,22,3
2020-12,32,22,4
2021-01,40,28,9
2021-02,40,22,8
2021-03,45,20,5
2021-04,38,27,6
2021-05,53,21,9
