Category: All categories

Month,Python machine learning: (Worldwide),R machine learning: (Worldwide),Java machine learning: (Worldwide)
2004-01,0,0,9
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,9
2004-05,8,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,7,7
2004-10,0,0,14
2004-11,0,0,0
2004-12,0,0,13
2005-01,0,0,0
2005-02,0,0,6
2005-03,0,0,10
2005-04,0,0,6
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,5
2005-08,0,0,5
2005-09,0,0,4
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,4
2006-01,0,0,4
2006-02,0,0,4
2006-03,3,3,0
2006-04,0,3,0
2006-05,0,0,0
2006-06,0,0,3
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,3,0,0
2007-01,0,0,2
2007-02,2,0,0
2007-03,2,0,0
2007-04,0,0,0
2007-05,0,0,0
2007-06,0,0,2
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,0,2
2007-11,0,0,3
2007-12,2,0,2
2008-01,0,0,4
2008-02,0,0,0
2008-03,0,0,4
2008-04,0,1,1
2008-05,0,0,3
2008-06,0,1,1
2008-07,0,0,0
2008-08,1,1,0
2008-09,3,0,1
2008-10,0,2,1
2008-11,1,1,2
2008-12,2,2,1
2009-01,0,1,2
2009-02,2,2,0
2009-03,0,1,5
2009-04,0,1,0
2009-05,2,1,2
2009-06,1,0,1
2009-07,0,1,0
2009-08,1,0,0
2009-09,1,2,0
2009-10,0,3,0
2009-11,1,1,1
2009-12,2,2,1
2010-01,0,1,2
2010-02,2,0,2
2010-03,2,1,2
2010-04,3,2,2
2010-05,3,2,2
2010-06,0,1,3
2010-07,2,2,2
2010-08,1,1,2
2010-09,3,1,0
2010-10,1,1,2
2010-11,1,0,1
2010-12,2,1,3
2011-01,0,1,1
2011-02,1,1,1
2011-03,0,0,1
2011-04,1,1,2
2011-05,1,3,3
2011-06,4,1,1
2011-07,2,1,2
2011-08,2,1,1
2011-09,4,1,1
2011-10,3,3,2
2011-11,2,3,3
2011-12,1,3,3
2012-01,2,1,1
2012-02,4,4,1
2012-03,3,2,4
2012-04,2,1,1
2012-05,2,5,2
2012-06,2,2,3
2012-07,2,4,2
2012-08,4,2,2
2012-09,2,<1,2
2012-10,2,4,1
2012-11,6,3,3
2012-12,3,2,2
2013-01,3,3,2
2013-02,3,2,2
2013-03,3,4,1
2013-04,3,5,2
2013-05,4,3,2
2013-06,4,3,3
2013-07,6,4,1
2013-08,4,3,1
2013-09,3,4,4
2013-10,7,3,2
2013-11,5,2,1
2013-12,6,1,2
2014-01,5,5,3
2014-02,6,5,4
2014-03,11,5,4
2014-04,6,6,4
2014-05,6,7,3
2014-06,4,5,3
2014-07,9,6,3
2014-08,7,9,5
2014-09,8,9,2
2014-10,7,5,3
2014-11,7,13,5
2014-12,7,10,1
2015-01,8,7,4
2015-02,7,10,4
2015-03,13,13,4
2015-04,14,12,3
2015-05,11,9,4
2015-06,14,14,7
2015-07,11,13,4
2015-08,15,11,5
2015-09,12,12,5
2015-10,12,10,5
2015-11,17,15,5
2015-12,18,13,5
2016-01,15,10,4
2016-02,21,12,5
2016-03,20,11,6
2016-04,25,14,5
2016-05,28,13,9
2016-06,29,15,4
2016-07,19,13,5
2016-08,26,13,6
2016-09,28,12,5
2016-10,35,15,7
2016-11,35,19,7
2016-12,40,20,7
2017-01,38,17,7
2017-02,42,23,8
2017-03,53,23,8
2017-04,49,21,8
2017-05,58,22,9
2017-06,61,20,10
2017-07,59,22,11
2017-08,58,20,9
2017-09,66,21,10
2017-10,67,21,11
2017-11,65,21,9
2017-12,64,21,9
2018-01,83,21,9
2018-02,79,22,11
2018-03,80,24,14
2018-04,68,26,9
2018-05,76,24,8
2018-06,84,24,9
2018-07,79,18,11
2018-08,77,19,10
2018-09,89,18,10
2018-10,88,18,7
2018-11,81,17,8
2018-12,80,19,8
2019-01,85,18,11
2019-02,85,20,8
2019-03,93,17,6
2019-04,85,18,9
2019-05,88,14,8
2019-06,96,20,7
2019-07,92,18,10
2019-08,93,16,7
2019-09,93,20,10
2019-10,93,16,6
2019-11,97,18,9
2019-12,100,15,7
2020-01,91,13,6
2020-02,97,17,8
2020-03,86,16,4
2020-04,88,14,6
2020-05,92,16,4
2020-06,93,16,5
2020-07,83,13,4
2020-08,82,10,6
2020-09,90,8,5
2020-10,70,9,5
2020-11,71,11,4
2020-12,62,10,4
2021-01,66,10,4
2021-02,64,11,5
2021-03,71,13,5
2021-04,75,10,6
2021-05,71,13,6
